股票,市场/代码,分档,更新日期,最新收盘价,收盘日,价格信号,当前判断,PE,PB,ROE,股息率,观察价位,历史回测参考买入区间（非保证）,主要风险,推荐买入
格力电器,A股/000651,合理档偏高,2026-09-23,38.36元,2026-09-23,🟠 价格偏高,"品牌与现金流基础仍在，但H1营收、利润和ROE下滑，当前价格偏高",约8.02倍,约1.55倍,2026H1约8.68%,约8.68%,"34元以下关注；38元附近不追高","34.00元或以下；对应更高安全边际","家电需求、价格竞争、地产周期、海外业务和利润率",— 继续观察/不追高
森麒麟,A股/002984,合理档,2026-09-23,13.06元,2026-09-23,—,"全球化产能推动销量和收入增长，但利润率、净利润及ROE明显承压，当前估值仅属合理",约16.11倍,约1.00倍,2026H1约3.03%,约2.68%,"12—14元观察；12元以下安全边际更高","12.00元或以下；上市以来尚无可用历史触发样本，暂不计算盈利率","原材料价格、汇率、国际贸易摩擦、海外工厂爬坡、品牌与价格竞争",— 继续观察
苏州银行,A股/002966,合理档偏高,2026-09-23,9.09元,2026-09-23,🟠 价格偏高,"营收和利润双增，区域经济与资产质量较好，但当前价格偏高",约6.02倍,约0.77倍,2026H1年化约12.2%,约6.12%,"8.00—9.00元关注；9元以上安全边际一般","8.00元或以下；PB约0.67倍","净息差继续收窄、区域信用风险、资产质量波动",— 继续观察/不追高
南京银行,A股/601009,合理档偏高,2026-09-23,11.73元,2026-09-23,🟠 价格偏高,"营收和利润双增、ROE较高，但当前价格偏高",约5.35倍,约0.76倍,2026H1年化约14.5%,约7.25%,"10.50—11.50元关注；11.50元以上安全边际一般","10.50元或以下；PB约0.67倍","净息差压力、房地产与地方债、区域竞争加剧",— 继续观察/不追高
中国移动,A股/600941,合理档偏高,2026-09-23,96.40元,2026-09-23,🟠 价格偏高,"现金流和分红能力强，算力与智能业务增长，但当前价格偏高",约13.19倍,约1.47倍,2026H1约5.6%,约5.60%,"85—90元关注；90—100元合理但不宜追高","85.00元或以下；对应股息率和安全边际更高","通信服务竞争、AI算力资本开支、增值税政策和利润率变化",— 继续观察/不追高
成都银行,A股/601838,合理档偏高,2026-09-23,18.85元,2026-09-23,🟠 价格偏高,"区域优势与资产质量较强，但当前价格偏高且利润增速放缓",约5.87倍,约0.90倍,2026H1约7.49%,约7.49%,"17.00—18.50元关注；18.50元以上安全边际一般","17.00元或以下；PB约0.80倍","区域经济波动、资产质量变化、息差继续承压",— 继续观察/不追高
农业银行,A股/601288,合理档偏高,2026-09-23,6.83元,2026-09-23,🟠 价格偏高,"大行稳健、分红能力强，但当前价格相对参考买入价明显溢价",约8.26倍,约0.85倍,2026H1约10.14%,约5.07%,"6.00—6.50元关注；6.50元以上安全边际一般","6.00元或以下；PB约0.74倍","净息差下行、涉农与地方债风险、资本补充压力",— 继续观察/不追高
中国电信,A股/601728,合理档偏高,2026-09-23,6.10元,2026-09-23,🟠 价格偏高,"云改数转和智能业务成长，但当前价格偏高且H1利润与ROE下滑",约14.39倍,约1.23倍,2026H1约4.2%,约4.20%,"5.30—5.80元关注；5.80—6.50元合理观察","5.30元或以下；对应更高安全边际","通信业务增速、算力资本开支、应收账款和利润率",— 继续观察/不追高
交通银行,A股/601328,合理档偏高,2026-09-23,7.52元,2026-09-23,🟠 价格偏高,"营收利润稳健、息差企稳，但当前价格偏高且不良率略升",约6.97倍,约0.57倍,2026H1约8.1%,约4.05%,"6.80—7.30元关注；7.30—7.80元合理观察","6.80元或以下；PB约0.51倍","净息差、房地产与地方债、资产质量和资本约束",— 继续观察/不追高
渝农商行,A股/601077,合理档偏高,2026-09-23,6.54元,2026-09-23,🟠 价格偏高,"区域农商行规模与营收稳增、资产质量扎实，但当前价格偏高",约4.58倍,约0.53倍,2026H1约12.00%,约6.00%,"5.80—6.30元关注；6.30—6.80元合理观察","5.80元或以下；PB约0.47倍","重庆区域经济、涉农小微信用风险、息差压力",— 继续观察/不追高
江苏银行,A股/600919,合理档偏高,2026-09-23,12.07元,2026-09-23,🟠 价格偏高,"营收利润双增、ROE较高，但当前价格偏高",约5.09倍,约0.82倍,2026H1约15.72%,约7.86%,"10.80—11.50元关注；11.50—12.50元合理观察","10.80元或以下；PB约0.73倍","净息差下行、区域信用风险、快速扩表后的资本约束",— 继续观察/不追高
